Disease Name,Disease Definition
complement factor I,"The CFI gene provides instructions for making a protein called complement factor I. This protein helps regulate a part of the body's immune response known as the complement system. The complement system is a group of proteins that work together to destroy foreign invaders (such as bacteria and viruses), trigger inflammation, and remove debris from cells and tissues. This system must be carefully regulated so it targets only unwanted materials and does not attack the body's healthy cells. Complement factor I and several related proteins protect healthy cells by preventing activation of the complement system when it is not needed."
CF transmembrane conductance regulator,"The CFTR gene provides instructions for making a protein called the CF transmembrane conductance regulator (CFTR). This protein functions as a channel across the membrane of cells that produce mucus, sweat, saliva, tears, and digestive enzymes. The channel transports negatively charged particles called chloride ions into and out of cells. The transport of chloride ions helps control the movement of water in tissues, which is necessary for the production of thin, freely flowing mucus. Mucus is a slippery substance that lubricates and protects the lining of the airways, digestive system, reproductive system, and other organs and tissues.The CFTR protein also regulates the function of other channels, such as those that transport positively charged particles called sodium ions across cell membranes. These channels are necessary for the normal function of organs such as the lungs and pancreas."
choline O-acetyltransferase,"The CHAT gene provides instructions for making a protein called choline acetyltransferase. This protein is located at the ends of nerve cells in specialized areas called presynaptic terminals. Choline acetyltransferase facilitates the production of a molecule called acetylcholine. Acetylcholine is essential for normal muscle movement. When acetylcholine is released from the presynaptic terminal, it attaches (binds) to a receptor protein located in the membrane of muscle cells. When acetylcholine binds to its receptor protein, specialized channels in the receptor then open, allowing certain charged atoms (ions) to flow into and out of muscle cells. The flow of these ions allows for muscle contraction and relaxation, resulting in muscle movement."
chromodomain helicase DNA binding protein 2,"The CHD2 gene provides instructions for making a protein called chromodomain DNA helicase protein 2. This protein is found in cells throughout the body and regulates gene activity (expression) through a process known as chromatin remodeling. Chromatin is the complex of DNA and proteins that packages DNA into chromosomes. The structure of chromatin can be changed (remodeled) to alter how tightly DNA is packaged. When DNA is tightly packed, gene expression is lower than when DNA is loosely packed. Chromodomain DNA helicase protein 2 appears to play an important role in the brain, although its function is not well understood. Research suggests that it may help control development or functioning of nerve cells (neurons)."
chromodomain helicase DNA binding protein 3,"The CHD3 gene provides instructions for making a protein that regulates gene activity (expression) by a process known as chromatin remodeling. Chromatin is the complex of DNA and protein that packages DNA into chromosomes. The structure of chromatin can be changed (remodeled) to alter how tightly DNA is packaged. When DNA is tightly packed, gene expression is lower than when DNA is loosely packed. Chromatin remodeling is one way gene expression is regulated during development. The CHD3 protein helps with chromatin remodeling by moving components called nucleosomes, that help bundle DNA in a tight package. Moving nucleosomes helps make DNA more accessible for gene expression. The CHD3 protein provides energy for this remodeling by breaking down a molecule called ATP.Through its ability to regulate gene activity, the CHD3 protein is involved in many processes during development, including maintenance of the structure and integrity of DNA, the maturation process that determines the type of cell an immature cell will ultimately become (cell fate determination), and the growth of cells as they progress through the step-by-step process they take to replicate themselves (the cell cycle)."
chromodomain helicase DNA binding protein 7,"The CHD7 gene provides instructions for making a protein called chromodomain helicase DNA binding protein 7. This protein is found in many parts of the body before birth, including the eye, the inner ear, and the brain. In the brain, the CHD7 protein is active in several areas, including a bundle of nerve cells (neurons) called the olfactory bulb that is critical for the perception of odors.The CHD7 protein belongs to a family of proteins that are thought to play a role in the organization of chromatin. Chromatin is the complex of DNA and protein that packages DNA into chromosomes. The CHD7 protein regulates the activity (expression) of several other genes through a process known as chromatin remodeling. The structure of chromatin can be changed (remodeled) to alter how tightly DNA is packaged. When DNA is tightly packed, gene expression is lower than when DNA is loosely packed. Researchers are working to determine which genes the CHD7 protein regulates."
chromodomain helicase DNA binding protein 8,"The CHD8 gene provides instructions for making a protein that regulates gene activity (expression) by a process known as chromatin remodeling. Chromatin is the complex of DNA and protein that packages DNA into chromosomes. The structure of chromatin can be changed (remodeled) to alter how tightly DNA is packaged. When DNA is tightly packed, gene expression is lower than when DNA is loosely packed. Chromatin remodeling is one way gene expression is regulated during development.The CHD8 protein is thought to affect the expression of many other genes that are involved in brain development before birth. In particular, the CHD8 protein and the genes it regulates likely help control the development of neural progenitor cells, which give rise to nerve cells (neurons), and the growth and division (proliferation) and maturation (differentiation) of neurons. In this way, the CHD8 protein helps to control the number of neurons in the brain and prevent overgrowth."
CHM Rab escort protein,"The CHM gene provides instructions for producing the Rab escort protein-1 (REP-1), which is active (expressed) throughout the body.  As an escort protein, REP-1 attaches (binds) to one of a number of Rab proteins.  Following a chemical modification, REP-1 then directs the Rab protein to the membrane of one of the cell's compartments (organelles).  While attached to the membrane, the Rab protein plays a role in directing the movement of proteins and organelles within cells (intracellular trafficking).  After the Rab protein has reached its destination, it is released by REP-1 which then attaches to another Rab protein to begin the process again."
charged multivesicular body protein 2B,"The CHMP2B gene provides instructions for making a protein called charged multivesicular body protein 2B. This protein is active in the brain, where it appears to be essential for the survival of nerve cells (neurons).Charged multivesicular body protein 2B forms one part (subunit) of a group of proteins known as the ESCRT-III complex. This complex helps transport other proteins from the cell membrane to the interior of the cell, a process known as endocytosis. In particular, the ESCRT-III complex is involved in the endocytosis of proteins that need to be broken down (degraded) by the cell. The complex helps sort these proteins into structures called multivesicular bodies (MVBs), which deliver them to lysosomes. Lysosomes are compartments within cells that digest and recycle many different types of molecules.Charged multivesicular body protein 2B is regulated by a segment at one end of the protein known as the C-terminal domain. This domain usually keeps the protein turned off (inactive). The inactive protein is unable to interact with other subunits of the ESCRT-III complex, which prevents the complex from forming when it is not needed. The C-terminal domain also plays an important role in disassembling the ESCRT-III complex through its interaction with a protein called vacuolar protein sorting 4 (Vps4)."
chimerin 1,"The CHN1 gene provides instructions for making two very similar proteins called α1-chimaerin and α2-chimaerin. These proteins play an important role in the early development of the nervous system. In particular, they help regulate complex chemical signaling pathways during the formation and development of nerve cells (neurons). These proteins help guide the growth of axons and dendrites, which are specialized extensions of neurons that transmit and receive nerve impulses throughout the nervous system.The CHN1 proteins, particularly α2-chimaerin, appear to be critical for the formation of certain nerves in the head and face. Specifically, they are necessary for the development and function of cranial nerve VI and, to a lesser extent, cranial nerve III. These nerves emerge from the brain and control several of the muscles that surround the eyes (extraocular muscles). The extraocular muscles direct eye movement and determine the position of the eyes."
cholinergic receptor nicotinic alpha 2 subunit,"The CHRNA2 gene provides instructions for making one part (subunit) of a larger protein called a neuronal nicotinic acetylcholine receptor (nAChR). Each nAChR protein is made up of a combination of five subunits, usually two alpha (α) and three beta (β) subunits.  Many different combinations are possible, and the characteristics of each nAChR protein depend on which subunits it contains.  The CHRNA2 gene is responsible for producing a subunit known as α2. Little is known about the specific function of nAChR proteins made with this subunit.In the brain, nAChR proteins are widely distributed and play an important role in chemical signaling between nerve cells (neurons).   The proteins act as channels, allowing charged atoms (ions) including calcium, sodium, and potassium to cross the cell membrane.  These channels open when attached to a brain chemical (neurotransmitter) called acetylcholine.  The channels also open in response to nicotine, the addictive substance in tobacco.Communication between neurons depends on neurotransmitters, which are released from one neuron and taken up by neighboring neurons.  The release and uptake of these chemicals are tightly regulated to ensure that signals are passed efficiently and accurately between neurons.  Researchers believe that nAChR channels play an important role in controlling the normal release and uptake of neurotransmitters.A wide range of brain functions depend on nAChR channels, including sleep and arousal, fatigue, anxiety, attention, pain perception, and memory.   The channels are also active before birth, which suggests that they are involved in early brain development.  At least one drug that targets nAChR channels in the brain has been developed to help people quit smoking;  other medications targeting these channels are under study for the treatment of schizophrenia, Alzheimer's disease, and pain."
cholinergic receptor nicotinic alpha 4 subunit,"The CHRNA4 gene provides instructions for making one part (subunit) of a larger protein called a neuronal nicotinic acetylcholine receptor (nAChR). Each nAChR protein is made up of a combination of five subunits, usually two alpha (α) and three beta (β) subunits. Many different combinations are possible, and the characteristics of each nAChR protein depend on which subunits it contains.  In the brain, nAChR proteins most commonly consist of two α4 subunits and three β2 subunits.  The CHRNA4 gene is responsible for producing the α4 subunit.In the brain, nAChR proteins are widely distributed and play an important role in chemical signaling between nerve cells (neurons). The nAChR proteins act as channels, allowing charged atoms (ions) including calcium, sodium, and potassium to cross the cell membrane. These channels open when attached to a brain chemical (neurotransmitter) called acetylcholine. The channels also open in response to nicotine, the addictive substance in tobacco.Communication between neurons depends on neurotransmitters, which are released from one neuron and taken up by neighboring neurons. The release and uptake of these chemicals are tightly regulated to ensure that signals are passed efficiently and accurately between neurons. Researchers believe that nAChR channels play an important role in controlling the normal release and uptake of neurotransmitters.A wide range of brain functions depend on nAChR channels, including sleep and arousal, fatigue, anxiety, attention, pain perception, and memory. The channels are also active before birth, which suggests that they are involved in early brain development. At least one drug that targets nAChR channels in the brain has been developed to help people quit smoking;  other medications targeting these channels are under study for the treatment of schizophrenia, Alzheimer disease, and pain."
cholinergic receptor nicotinic beta 2 subunit,"The CHRNB2 gene provides instructions for making one part (subunit) of a larger protein called a neuronal nicotinic acetylcholine receptor (nAChR). Each nAChR protein is made up of a combination of five subunits, usually two alpha (α) and three beta (β) subunits. Many different combinations are possible, and the characteristics of each nAChR protein depend on which subunits it contains. In the brain, nAChR proteins most commonly consist of two α4 subunits and three β2 subunits. The CHRNB2 gene is responsible for producing the β2 subunit.In the brain, nAChR proteins are widely distributed and play an important role in chemical signaling between nerve cells (neurons). The nAChR proteins act as channels, allowing charged atoms (ions) including calcium, sodium, and potassium to cross the cell membrane. These channels open when attached to a brain chemical (neurotransmitter) called acetylcholine. The channels also open in response to nicotine, the addictive substance in tobacco.Communication between neurons depends on neurotransmitters, which are released from one neuron and taken up by neighboring neurons. The release and uptake of these chemicals are tightly regulated to ensure that signals are passed efficiently and accurately between neurons. Researchers believe that nAChR channels play an important role in controlling the normal release and uptake of neurotransmitters.A wide range of brain functions depend on nAChR channels, including sleep and arousal, fatigue, anxiety, attention, pain perception, and memory. The channels are also active before birth, which suggests that they are involved in early brain development. At least one drug that targets nAChR channels in the brain has been developed to help people quit smoking; other medications targeting these channels are under study for the treatment of schizophrenia, Alzheimer's disease, and pain."
cholinergic receptor nicotinic epsilon subunit,"The CHRNE gene provides instructions for making the epsilon (ε) component (subunit) of the acetylcholine receptor (AChR) protein. The AChR protein is found in the membrane of skeletal muscle cells and plays a critical role in the neuromuscular junction, which is the area where signaling between nerve and muscle cells occurs. Signaling between nerve and muscle cells is necessary for movement. The AChR protein consists of five subunits, each of which is produced from a different gene. The subunits are assembled into the AChR protein in the endoplasmic reticulum, a cell structure involved in protein processing and transport, before being transported to the cell membrane. There are two major forms of the AChR protein, a fetal type that is present before birth and an adult type. The ε subunit is found only in the adult AChR protein. At about the 33rd week of pregnancy, the ε subunit replaces the gamma (γ) subunit (found only in fetal AChR) to form adult AChR protein."
cholinergic receptor nicotinic gamma subunit,"The CHRNG gene provides instructions for making the gamma (γ) protein component (subunit) of the acetylcholine receptor (AChR) protein. The AChR protein is found in the membrane of skeletal muscle cells and is critical for signaling between nerve and muscle cells. Signaling between these cells is necessary for movement. The AChR protein consists of five subunits, each of which is produced from a different gene. The subunits are assembled into the AChR protein in the endoplasmic reticulum, a cell structure involved in protein processing and transport, before being transported to the cell membrane. The γ subunit is found only in the fetal AChR protein. At about the thirty-third week of pregnancy, the γ subunit is replaced by the epsilon (ε) subunit, which is produced by the CHRNE gene, to form the adult AChR protein."
carbohydrate sulfotransferase 3,"The CHST3 gene provides instructions for making an enzyme called chondroitin 6-O-sulfotransferase 1 or C6ST-1. This enzyme has an important role in the development and maintenance of the skeleton. In particular, it is essential for the normal development of cartilage, which is a tough, flexible tissue that makes up much of the skeleton during early development. Most cartilage is later converted to bone, except for the cartilage that continues to cover and protect the ends of bones and is present in the nose and external ears.The C6ST-1 enzyme modifies molecules called chondroitin sulfate proteoglycans, which are abundant in cartilage and give this tissue its rubbery, gel-like consistency. The C6ST-1 enzyme carries out a process known as sulfation, in which a chemical group called a sulfate is transferred from one chemical compound to another. Specifically, the enzyme takes sulfate from a molecule called 3'-phosphoadenyl-5'-phosphosulfate (PAPS) and adds it to a specific location on chondroitin sulfate proteoglycans. Sulfation of these molecules is a critical step in cartilage formation."
class II major histocompatibility complex transactivator,"The CIITA gene provides instructions for making a protein that primarily helps control the activity (transcription) of genes called major histocompatibility complex (MHC) class II genes. Transcription is the first step in the production of proteins, and CIITA is critical for the production of specialized immune proteins called MHC class II proteins from these genes. The CIITA protein coordinates various proteins to turn on MHC class II gene transcription and allow the production of MHC class II proteins.MHC class II proteins are found on the surface of several types of immune cells, including white blood cells (lymphocytes) that are involved in immune reactions. These proteins play an important role in the body's immune response to foreign invaders, such as bacteria, viruses, and fungi. To help the body recognize and fight infections, MHC class II proteins bind to fragments of proteins (peptides) from foreign invaders so that other specialized immune system cells can interact with them. When these immune system cells recognize the peptides as harmful, they trigger the lymphocytes and other immune cells to launch immune responses to get rid of the foreign invaders.The CIITA protein also appears to play a role in enhancing the transcription of MHC class I genes, which provide instructions for making immune system proteins called MHC class I proteins. Like MHC class II proteins, MHC class I proteins attach to peptides from foreign invaders and present them to specific immune system cells. These cells then attack the foreign invaders to rid them from the body. While the CIITA protein is able to help promote MHC class I gene activity, it is not the primary regulator of these genes. Other proteins play a more prominent role in their transcription."
CDGSH iron sulfur domain 2,"The CISD2 gene provides instructions for making a protein that is found in the outer membrane of cell structures called mitochondria. Mitochondria are involved in a wide variety of cellular activities, including energy production, chemical signaling, and regulation of cell growth and division. The exact function of the CISD2 protein is unknown, but it is thought to help keep mitochondria functioning normally."
cardiotrophin like cytokine factor 1,"The CLCF1 gene provides instructions for making a protein called cardiotrophin-like cytokine factor 1  (CLCF1). This protein partners with a similar protein called cytokine receptor-like factor 1 (CRLF1), which is produced from the CRLF1 gene. Together, these two proteins form a unit known as the CRLF1/CLCF1 protein complex. This complex attaches (binds) to a receptor protein known as the ciliary neurotrophic factor receptor (CNTFR) on the surface of many types of cells. When the CRLF1/CLCF1 protein complex is bound to CNTFR, it triggers signaling inside the cell that affects cell development and function.The CNTFR signaling pathway is primarily involved in the development and maintenance of the nervous system. It promotes the survival of nerve cells (neurons), particularly nerve cells that control muscle movement (motor neurons). The CNTFR pathway also plays a role in a part of the nervous system called the sympathetic nervous system, specifically in the regulation of sweating in response to temperature changes and other factors. This signaling pathway appears to be critical for the normal development and maturation of nerve cells that control the activity of sweat glands.Studies suggest that the CNTFR signaling pathway also has functions outside the nervous system. It may be involved in the body's inflammatory response, which helps fight infection and facilitate tissue repair following an injury. This pathway may also be important for the development and maintenance of bone tissue. However, little is known about the role of CNTFR signaling in these processes."
chloride voltage-gated channel 1,"The CLCN1 gene provides instructions for making a type of protein called a chloride channel. These channels, which transport negatively charged chlorine atoms (chloride ions), play a key role in a cell's ability to generate and transmit electrical signals.The CLCN1 gene provides instructions for making a chloride channel called ClC-1. These channels are found only in muscles used for movement (skeletal muscles). For the body to move normally, skeletal muscles must tense (contract) and relax in a coordinated way. Muscle contraction and relaxation are controlled by the flow of certain ions into and out of muscle cells. ClC-1 channels, which span the cell membrane, control the flow of chloride ions into these cells. This influx stabilizes the cells' electrical charge, which prevents muscles from contracting abnormally.ClC-1 channels are made of two identical protein subunits, each produced from the CLCN1 gene. Although each subunit forms a separate opening (pore) that allows chloride ions to pass through, the two proteins work together to regulate the flow of chloride ions into skeletal muscle cells."
chloride voltage-gated channel 2,"The CLCN2 gene belongs to the CLC family of genes, which provide instructions for making chloride channels. These channels, which transport negatively charged chlorine atoms (chloride ions), play a key role in a cell's ability to generate and transmit electrical signals. Some chloride channels regulate the flow of chloride ions across cell membranes, while others transport chloride ions within cells.The CLCN2 gene provides instructions for making a chloride channel called ClC-2. These channels are embedded within the outer membrane of most cells, and they transport chloride ions in and out of cells. The channel's function is thought to be particularly important in nerve cells (neurons) in the brain. The ClC-2 channel regulates the size (volume) of neurons by playing a role in the intake and release of water as well as maintaining a normal balance of ions in cells."
chloride voltage-gated channel 5,"The CLCN5 gene provides instructions for making a protein called ClC-5 that transports charged atoms (ions) across cell membranes. Specifically, ClC-5 exchanges negatively charged atoms of chlorine (chloride ions) for positively charged atoms of hydrogen (protons or hydrogen ions). Based on this function, ClC-5 is known as a HClC-5 is found primarily in the kidneys, particularly in structures called proximal tubules. These structures help to reabsorb nutrients, water, and other materials that have been filtered from the bloodstream. The kidneys reabsorb needed materials into the blood and excrete everything else into the urine.Within proximal tubule cells, ClC-5 is embedded in specialized compartments called endosomes. Endosomes are formed at the cell surface to carry proteins and other molecules to their destinations within the cell. ClC-5 transports hydrogen ions into endosomes and chloride ions out, which helps these compartments maintain the proper acidity level (pH). Endosomal pH levels must be tightly regulated for proximal tubule cells to function properly."
chloride voltage-gated channel 7,"The CLCN7 gene belongs to the CLC family of genes, which provide instructions for making chloride channels. These channels, which transport negatively charged chlorine atoms (chloride ions), play a key role in a cell's ability to generate and transmit electrical signals. Some CLC channels regulate the flow of chloride ions across cell membranes, while others transport chloride ions within cells.The CLCN7 gene provides instructions for making a chloride channel called ClC-7. These channels are abundant in cells throughout the body. They are particularly important for the normal function of osteoclasts, which are specialized cells that break down bone tissue. Osteoclasts are involved in bone remodeling, a normal process in which old bone is removed and new bone is created to replace it. Bones are constantly being remodeled, and the process is carefully controlled to ensure that bones stay strong and healthy.ClC-7 channels help regulate the relative acidity (pH) of osteoclasts. These channels transport two negatively charged chloride ions out of these cells for every positively charged hydrogen atom (hydrogen ion) that flows in. In this way, ClC-7 channels help balance the acidic environment that osteoclasts use to dissolve bone tissue. The pH inside and outside osteoclasts must be carefully controlled for these cells to break down bone effectively."
chloride voltage-gated channel Ka,"The CLCNKA gene belongs to the CLC family of genes, which provide instructions for making chloride channels. These channels, which transport negatively charged chlorine atoms (chloride ions), play a key role in a cell's ability to generate and transmit electrical signals. Some CLC channels regulate the flow of chloride ions across cell membranes, while others transport chloride ions within cells.The CLCNKA gene provides instructions for making a chloride channel called ClC-Ka. These channels are found predominantly in the kidneys. ClC-Ka is one of several proteins that work together to regulate the movement of ions into and out of kidney cells. The transport of chloride ions by ClC-Ka channels is part of the mechanism by which the kidneys reabsorb salt (sodium chloride or NaCl) from the urine back into the bloodstream. The retention of salt affects the body's fluid levels and helps maintain blood pressure.ClC-Ka channels are also located in the inner ear, where they play a role in normal hearing."
chloride voltage-gated channel Kb,"The CLCNKB gene belongs to the CLC family of genes, which provide instructions for making chloride channels. These channels, which transport negatively charged chlorine atoms (chloride ions), play a key role in a cell's ability to generate and transmit electrical signals. Some CLC channels regulate the flow of chloride ions across cell membranes, while others transport chloride ions within cells.The CLCNKB gene provides instructions for making a chloride channel called ClC-Kb. These channels are found predominantly in the kidneys. ClC-Kb is one of several proteins that work together to regulate the movement of ions into and out of kidney cells. The transport of chloride ions by ClC-Kb channels is part of the mechanism by which the kidneys reabsorb salt (sodium chloride or NaCl) from the urine back into the bloodstream. The retention of salt affects the body's fluid levels and helps maintain blood pressure.ClC-Kb channels are also located in the inner ear, where they play a role in normal hearing."
CAP-Gly domain containing linker protein 2,"The CLIP2 gene provides instructions for making a protein called CAP-Gly domain containing linker protein 2.  The protein is also known as CLIP-115. This protein is found predominantly in the brain, where it likely plays a role in the normal structure and function of nerve cells. Within cells, this protein is thought to regulate aspects of the cytoskeleton, the structural framework that helps to determine cell shape, size, and movement. The protein is associated with microtubules, which are rigid, hollow fibers that make up a significant part of the cytoskeleton. Microtubules help cells maintain their shape, assist in the process of cell division, and are essential for the transport of materials within cells."
"CLN3 lysosomal/endosomal transmembrane protein, battenin","The CLN3 gene provides instructions for making a protein that is found in tissues throughout the body, yet its function is unclear. The CLN3 protein is found in many compartments within cells, but its role in lysosomes is most well-studied. Lysosomes are cellular compartments that digest and recycle different types of molecules. The CLN3 protein spans the membrane surrounding lysosomes, helping to facilitate communication between it and the rest of the cell.Studies have associated the CLN3 protein with many cellular processes, including recycling of worn-out cell parts and unneeded proteins (autophagy), maintenance of the relative acidity (pH) of lysosomes, the movement of molecules from the cell surface into the cell (endocytosis), transportation (trafficking) of proteins to where they are needed in the cell, self-destruction of cells (apoptosis), cell growth and division (proliferation), and maintenance of the body's water balance (osmoregulation). It is uncertain which of these varied functions is the primary role of the CLN3 protein, or if these processes instead represent downstream effects."
CLN5 intracellular trafficking protein,"The CLN5 gene provides instructions for making a protein whose function is not well understood. Cells produce a CLN5 protein that is inactive and contains extra protein segments. This inactive protein is called a preprotein. For the CLN5 preprotein to become active, the additional segments must be removed, followed by additional processing steps. The active CLN5 protein is then transported to cell compartments called lysosomes, which digest and recycle different types of molecules. Research suggests that the CLN5 protein may play a role in the process by which lysosomes break down or recycle damaged or unneeded proteins within cells."
CLN6 transmembrane ER protein,"The CLN6 gene provides instructions for making a protein whose function is not well understood. Within cells, the CLN6 protein is found in a structure called the endoplasmic reticulum, which is involved in protein processing and transport. Research suggests that the CLN6 protein regulates the transportation of certain proteins and fats from the endoplasmic reticulum to lysosomes. Lysosomes are compartments in the cell that digest and recycle materials. Based on this function, the CLN6 protein appears to help cells get rid of materials they no longer need."
CLN8 transmembrane ER and ERGIC protein,"The CLN8 gene provides instructions for making a protein whose precise function is not known but that is thought to play a transport role within cells. Specifically, the CLN8 protein likely helps to move materials in and out of a cell structure called the endoplasmic reticulum, which is involved in protein production, processing, and transport. The CLN8 protein may also play a role in helping the endoplasmic reticulum regulate levels of fats (lipids) in cells.  In certain cells, including nerve cells, the CLN8 protein is thought to be active outside of the endoplasmic reticulum, but its function is unknown."
ClpB family mitochondrial disaggregase,"The CLPB gene provides instructions for making a protein whose function is unknown. The CLPB protein is found in cells throughout the body but is most abundant in the brain. Based on its similarity to a protein in other organisms, researchers speculate that the CLPB protein helps unfold misfolded proteins so they can be refolded correctly. When misfolded, proteins cannot function properly and may be damaging to cells."
caseinolytic mitochondrial matrix peptidase proteolytic subunit,"The CLPP gene provides instructions for making the ClpP subunit protein. Multiple copies of this protein interact with each other to form a barrel-shaped chamber known as the ClpP complex. This complex is one of two parts of the ClpXP protease, which breaks down abnormally folded proteins. The other part of the ClpXP protease, called the ClpX complex, unfolds the abnormal proteins and feeds them into the chamber formed by the ClpP complex, where they are broken down into small fragments.The ClpP complex is found in structures in the cell called mitochondria, which are the energy-producing centers of cells."
clarin 1,"The CLRN1 gene provides information for making a protein called clarin 1. This protein is probably involved in normal hearing and vision. Clarin 1 has been found in several areas of the body, including sensory cells in the inner ear called hair cells. These cells help transmit sound and motion signals to the brain. This protein is also active in the retina, which is the light-sensing tissue that lines the back of the eye. Although the function of clarin 1 has not been determined, studies suggest that it plays a role in communication between nerve cells (neurons) in the inner ear and in the retina. Clarin 1 may be important for the development and function of synapses, which are junctions between neurons where cell-to-cell communication occurs."
CCHC-type zinc finger nucleic acid binding protein,"The CNBP gene provides instructions for making a protein called CCHC-type zinc finger nucleic acid binding protein. This protein has seven regions, called zinc finger domains, which are thought to attach (bind) to specific sites on DNA and its chemical cousin, RNA.The CNBP protein is found in many of the body's tissues, but it is most abundant in the heart and in muscles used for movement (skeletal muscles). The CNBP protein regulates the activity of other genes and is necessary for normal development before birth, particularly of muscles.One region of the CNBP gene contains a segment of four DNA building blocks (nucleotides) that is repeated multiple times. This sequence, which is written as CCTG, is called a tetranucleotide repeat. In most people, the CCTG sequence is repeated fewer than 26 times."
cyclic nucleotide gated channel subunit alpha 3,"The CNGA3 gene provides instructions for making one part (the alpha subunit) of the cone photoreceptor cyclic nucleotide-gated (CNG) channel. These channels are found exclusively in light-detecting (photoreceptor) cells called cones, which are located in a specialized tissue at the back of the eye known as the retina. Cones provide vision in bright light (daylight vision), including color vision. Other photoreceptor cells, called rods, provide vision in low light (night vision).CNG channels are openings in the cell membrane that transport positively charged atoms (cations) into cells. In cones, CNG channels remain open under dark conditions, allowing cations to flow in. When light enters the eye, it triggers the closure of these channels, stopping the inward flow of cations. This change in cation transport alters the cone's electrical charge, which ultimately generates a signal that is interpreted by the brain as vision. This process of translating light into an electrical signal is called phototransduction."
cyclic nucleotide gated channel subunit beta 3,"The CNGB3 gene provides instructions for making one part (the beta subunit) of the cone photoreceptor cyclic nucleotide-gated (CNG) channel. These channels are found exclusively in light-detecting (photoreceptor) cells called cones, which are located in a specialized tissue at the back of the eye known as the retina. Cones provide vision in bright light (daylight vision), including color vision. Other photoreceptor cells, called rods, provide vision in low light (night vision).CNG channels are openings in the cell membrane that transport positively charged atoms (cations) into cells. In cones, CNG channels remain open under dark conditions, allowing cations to flow in. When light enters the eye, it triggers the closure of these channels, stopping the inward flow of cations. This change in cation transport alters the cone's electrical charge, which ultimately generates a signal that is interpreted by the brain as vision. This process of translating light into an electrical signal is called phototransduction."
component of oligomeric golgi complex 4,"The COG4 gene provides instructions for making a protein called component of oligomeric Golgi complex 4 (COG4). As its name suggests, COG4 is one piece of a group of proteins known as the conserved oligomeric Golgi (COG) complex. This complex is important for maintaining normal functions in the Golgi apparatus, which is a cell structure in which newly produced proteins are modified so they can carry out their functions. An example of a protein modification process that occurs in the Golgi apparatus is glycosylation, by which sugar molecules (oligosaccharides) are attached to proteins and fats. Glycosylation modifies proteins so they can perform a wider variety of functions.The COG complex plays an important role in a process called retrograde transport, through which proteins are moved from the Golgi apparatus to another cellular structure called the endoplasmic reticulum. Among its many functions, the endoplasmic reticulum folds and modifies newly formed proteins so they have the correct 3-dimensional shape. This transport pathway is called retrograde because it is in reverse order of the usual process for newly produced proteins. New proteins undergo initial processing in the endoplasmic reticulum then move to the Golgi apparatus for further modification before being released from the cell (secreted). Retrograde transport is important for sending unneeded proteins to the endoplasmic reticulum to get recycled and for relocating misplaced proteins within the cell.For retrograde transport, proteins first must be incorporated into sac-like structures called vesicles that get attached to the Golgi apparatus membrane. The COG complex controls the attachment (tethering) of the vesicles to the Golgi membrane in preparation for transport. Once the proteins are incorporated, the vesicles detach and carry the proteins to the endoplasmic reticulum."
component of oligomeric golgi complex 5,"The COG5 gene provides instructions for making a protein called component of oligomeric Golgi complex 5 (COG5). As its name suggests, COG5 is one piece of a group of proteins known as the conserved oligomeric Golgi (COG) complex.  This complex functions in the Golgi apparatus, which is a cell structure in which newly produced proteins are modified. One process that occurs in the Golgi apparatus is glycosylation, by which sugar molecules (oligosaccharides) are attached to proteins and fats. Glycosylation modifies proteins so they can perform a wider variety of functions.The COG complex takes part in the transport of proteins, including the enzymes that perform glycosylation, within the Golgi apparatus. COG is specifically involved in retrograde transport, which moves proteins backward through the Golgi apparatus. Retrograde transport is important for recycling Golgi proteins and ensuring that they are in the correct location in the structure, which is key to proper glycosylation. The proteins are transported in sac-like structures called vesicles that attach to the Golgi membrane and release the contents into the Golgi apparatus. The COG complex controls the attachment (tethering) of the vesicles to the Golgi membrane."
collagen type XI alpha 1 chain,"The COL11A1 gene provides instructions for making a component of type XI collagen called the pro-alpha1(XI) chain. Collagens are molecules that provide structure and strength to the connective tissues that support the body's muscles, joints, organs, and skin. Type XI collagen is normally found in cartilage, a tough but flexible tissue that makes up much of the skeleton during early development. Most cartilage is later converted to bone, except for the cartilage that continues to cover and protect the ends of bones and is present in the nose and external ears. Type XI collagen is also part of the inner ear; the vitreous, which is the clear gel that fills the eyeball; and the nucleus pulposus, which is the center portion of the discs between the bones of the spine (vertebrae).Collagens begin as rope-like procollagen molecules that are each made up of three chains. The pro-alpha1(XI) chain combines with two other collagen chains, pro-alpha2(XI) and pro-alpha1(II), to form a triple-stranded procollagen molecule. Then the ropelike procollagen is processed by enzymes to create mature collagen. Mature collagen molecules arrange themselves into long, thin fibrils that form stable interactions (cross-links) with one another in the spaces between cells (the extracellular matrix). The cross-links result in the formation of very strong type XI collagen fibers.Type XI collagen also helps maintain the spacing and width (diameter) of another type of collagen molecule, type II collagen. Type II collagen is an important component of the vitreous and cartilage. The arrangement and size of type II collagen fibrils is essential for the normal structure of these tissues."
